simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9104	9104	0	0.10725	18999	274.461
30	9903	799	0	36.5558	2.85085e-08	451.78
60	9997	94	0	37.212	3.76497e-20	451.974
90	10077	80	0	36.7136	4.60191e-32	452.058
120	10209	132	0	36.7769	5.89886e-44	452.098
150	10353	144	0	37.5236	8.20344e-56	452.123
180	10529	176	0	37.726	1.1263e-67	452.151
210	10722	193	0	37.0222	1.35787e-79	452.178
240	10926	204	0	37.9087	1.33915e-91	452.206
270	11161	235	0	37.8059	1.05802e-103	452.233
300	11459	298	0	38.049	6.53387e-116	452.26
330	11744	285	0	38.7281	3.13294e-128	452.286
360	12104	367	7	39.0971	1.15716e-140	452.313
390	12512	420	12	40.6847	3.25962e-153	452.338
420	12983	498	27	40.9342	6.89723e-166	452.364
450	13511	571	43	41.9735	1.06894e-178	452.391
480	14044	632	99	42.1011	1.19072e-191	452.419
510	14674	784	154	43.4669	9.18411e-205	452.449
540	15200	732	206	44.6818	4.79567e-218	452.481
570	15517	524	207	45.4628	1.67894e-231	452.517
600	15827	474	164	45.7038	3.91877e-245	452.556
630	16329	587	85	46.5465	5.9972e-259	452.6
660	17067	803	65	48.3229	5.57893e-273	452.648
690	17427	392	32	49.3992	3.14111e-287	452.697
720	17573	178	32	49.8373	0	452.749
750	17741	196	28	50.1443	0	452.803
780	17971	248	18	50.4625	0	452.86
810	18237	294	28	50.5057	0	452.917
840	18580	373	30	50.0651	0	452.971
870	18899	355	36	51.659	0	453.023
900	19330	465	34	51.4099	0	453.071
930	19810	513	33	53.4793	0	453.119
960	20362	584	32	54.1991	0	453.165
990	20968	642	36	54.6157	0	453.21
1020	21673	745	40	56.4186	0	453.255
1050	22537	891	27	57.3223	0	453.3
1080	23561	1051	27	58.0902	0	453.347
1110	24717	1189	33	59.8158	0	453.396
1140	26081	1398	34	63.123	0	453.446
1170	27444	1391	28	64.9719	0	453.502
1200	28525	1113	32	67.0559	0	453.563
1230	29419	930	36	68.7293	0	453.63
1260	30504	1114	29	69.8843	0	453.705
1290	31842	1370	32	72.0628	0	453.785
1320	32758	976	60	74.1942	0	453.871
1350	33211	508	55	75.8009	0	453.959
1380	33528	355	38	76.2238	0	454.054
1410	33938	455	45	76.6665	0	454.152
1440	34446	542	34	77.5074	0	454.249
1440.02	34484	40	2	0.906818	0	454.249
